article_id,source,title,summary,content,url,published_at,collected_at,language,tickers,companies,sector,topic,sentiment_score,p_positive,p_neutral,p_negative,optimism,fear,uncertainty,attention,attention_weight,disagreement,disagreement_input,risk_intensity,risk_category,evidence_sentence,model_confidence,relevance_weight,time_weight,agg_weight,is_duplicate,dedup_factor
demo-01-01,Demo Market Wire,Apple AI demand update 1 shapes Technology sentiment,AI server orders supported stronger guidance. Investors linked the move to AI demand.,Apple and Microsoft were mentioned in demo coverage of Technology. AI server orders supported stronger guidance. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-01-01,2026-07-07T00:00:00+00:00,2026-07-07T00:00:00+00:00,en,AAPL;MSFT,Apple;Microsoft,Technology,AI demand,0.350,0.554,0.243,0.203,55.4,20.3,50.8,0.0,0.0,0.0,0.350,47.4,earnings risk,AI server orders supported stronger guidance.,0.554,1.000,1.000000,1.000000,False,1.0
demo-01-02,Demo Finance Daily,Microsoft semiconductors update 2 shapes Technology sentiment,chip supply constraints kept investors cautious. Investors linked the move to semiconductors.,Microsoft and Nvidia were mentioned in demo coverage of Technology. chip supply constraints kept investors cautious. Analysts said valuation risk should be monitored over the next few weeks.,https://example.com/demo-01-02,2026-07-04T21:00:00+00:00,2026-07-07T00:00:00+00:00,en,MSFT;NVDA,Microsoft;Nvidia,Technology,semiconductors,-0.251,0.207,0.336,0.457,20.7,45.7,58.4,0.0,0.0,0.0,-0.251,42.1,valuation risk,Analysts said valuation risk should be monitored over the next few weeks.,0.457,1.000,0.492464,0.492464,False,1.0
demo-01-03,Demo Sector Brief,Nvidia cloud growth update 3 shapes Technology sentiment,cloud spending trends remained resilient. Investors linked the move to cloud growth.,Nvidia and AMD were mentioned in demo coverage of Technology. cloud spending trends remained resilient. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-01-03,2026-07-02T18:00:00+00:00,2026-07-07T00:00:00+00:00,en,AMD;NVDA,AMD;Nvidia,Technology,cloud growth,0.311,0.526,0.259,0.215,52.6,21.5,52.6,0.0,0.0,0.0,0.311,47.6,earnings risk,Analysts said earnings risk should be monitored over the next few weeks.,0.526,1.000,0.242521,0.242521,False,1.0
demo-01-04,Demo Analyst Note,AMD earnings risk update 4 shapes Technology sentiment,valuation questions grew after a sharp rally. Investors linked the move to earnings risk.,AMD and Broadcom were mentioned in demo coverage of Technology. valuation questions grew after a sharp rally. Analysts said macro risk should be monitored over the next few weeks.,https://example.com/demo-01-04,2026-06-30T15:00:00+00:00,2026-07-07T00:00:00+00:00,en,AMD;AVGO,AMD;Broadcom,Technology,earnings risk,-0.398,0.152,0.297,0.550,15.2,55.0,53.4,0.0,0.0,0.0,-0.398,46.9,valuation risk,valuation questions grew after a sharp rally.,0.550,1.000,0.119433,0.119433,False,1.0
demo-01-05,Demo Macro Watch,Broadcom AI demand update 5 shapes Technology sentiment,AI server orders supported stronger guidance. Investors linked the move to AI demand.,Broadcom and Apple were mentioned in demo coverage of Technology. AI server orders supported stronger guidance. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-01-05,2026-06-28T12:00:00+00:00,2026-07-07T00:00:00+00:00,en,AAPL;AVGO,Apple;Broadcom,Technology,AI demand,0.350,0.554,0.243,0.203,55.4,20.3,50.8,0.0,0.0,0.0,0.350,47.4,earnings risk,AI server orders supported stronger guidance.,0.554,1.000,0.058816,0.058816,False,1.0
demo-01-06,Demo Market Wire,Apple semiconductors update 6 shapes Technology sentiment,chip supply constraints kept investors cautious. Investors linked the move to semiconductors.,Apple and Microsoft were mentioned in demo coverage of Technology. chip supply constraints kept investors cautious. Analysts said valuation risk should be monitored over the next few weeks.,https://example.com/demo-01-06,2026-06-26T09:00:00+00:00,2026-07-07T00:00:00+00:00,en,AAPL;MSFT,Apple;Microsoft,Technology,semiconductors,-0.251,0.207,0.336,0.457,20.7,45.7,58.4,0.0,0.0,0.0,-0.251,42.1,valuation risk,Analysts said valuation risk should be monitored over the next few weeks.,0.457,1.000,0.028965,0.028965,False,1.0
demo-01-07,Demo Finance Daily,Microsoft cloud growth update 7 shapes Technology sentiment,cloud spending trends remained resilient. Investors linked the move to cloud growth.,Microsoft and Nvidia were mentioned in demo coverage of Technology. cloud spending trends remained resilient. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-01-07,2026-06-24T06:00:00+00:00,2026-07-07T00:00:00+00:00,en,MSFT;NVDA,Microsoft;Nvidia,Technology,cloud growth,0.311,0.526,0.259,0.215,52.6,21.5,52.6,0.0,0.0,0.0,0.311,47.6,earnings risk,Analysts said earnings risk should be monitored over the next few weeks.,0.526,1.000,0.014264,0.014264,False,1.0
demo-01-08,Demo Sector Brief,Nvidia earnings risk update 8 shapes Technology sentiment,valuation questions grew after a sharp rally. Investors linked the move to earnings risk.,Nvidia and AMD were mentioned in demo coverage of Technology. valuation questions grew after a sharp rally. Analysts said macro risk should be monitored over the next few weeks.,https://example.com/demo-01-08,2026-06-22T03:00:00+00:00,2026-07-07T00:00:00+00:00,en,AMD;NVDA,AMD;Nvidia,Technology,earnings risk,-0.398,0.152,0.297,0.550,15.2,55.0,53.4,0.0,0.0,0.0,-0.398,46.9,valuation risk,valuation questions grew after a sharp rally.,0.550,1.000,0.007025,0.007025,False,1.0
demo-01-09,Demo Analyst Note,AMD AI demand update 9 shapes Technology sentiment,AI server orders supported stronger guidance. Investors linked the move to AI demand.,AMD and Broadcom were mentioned in demo coverage of Technology. AI server orders supported stronger guidance. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-01-09,2026-06-21T00:00:00+00:00,2026-07-07T00:00:00+00:00,en,AMD;AVGO,AMD;Broadcom,Technology,AI demand,0.350,0.554,0.243,0.203,55.4,20.3,50.8,0.0,0.0,0.0,0.350,47.4,earnings risk,AI server orders supported stronger guidance.,0.554,1.000,0.004828,0.004828,False,1.0
demo-01-10,Demo Macro Watch,Broadcom semiconductors update 10 shapes Technology sentiment,chip supply constraints kept investors cautious. Investors linked the move to semiconductors.,Broadcom and Apple were mentioned in demo coverage of Technology. chip supply constraints kept investors cautious. Analysts said valuation risk should be monitored over the next few weeks.,https://example.com/demo-01-10,2026-06-18T21:00:00+00:00,2026-07-07T00:00:00+00:00,en,AAPL;AVGO,Apple;Broadcom,Technology,semiconductors,-0.251,0.207,0.336,0.457,20.7,45.7,58.4,0.0,0.0,0.0,-0.251,42.1,valuation risk,Analysts said valuation risk should be monitored over the next few weeks.,0.457,1.000,0.002378,0.002378,False,1.0
