article_id,event_id,source,publisher,source_count,title,summary,content,body_text,content_level,rescored,url,published_at,collected_at,time_parse_error,language,tickers,companies,sector,topic,sentiment_score,p_positive,p_neutral,p_negative,sentiment_score_fulltext,p_positive_fulltext,p_neutral_fulltext,p_negative_fulltext,b_bull,b_bear,g_growth,s_shock,k_unc,entropy_norm,optimism,fear,uncertainty,attention,attention_weight,disagreement,disagreement_input,risk_intensity,risk_category,evidence_sentence,model_confidence,relevance_weight,time_weight,source_weight,agg_weight,is_duplicate,dedup_factor,processing_error
demo-01-01,demo-01-01,Demo Market Wire,Demo Market Wire,1,Apple AI demand update 1 shapes Technology sentiment,AI server orders supported stronger guidance. Investors linked the move to AI demand.,Apple and Microsoft were mentioned in demo coverage of Technology. AI server orders supported stronger guidance. Analysts said demand risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-01-01,2026-07-07T00:00:00+00:00,2026-07-07T00:00:00+00:00,,en,AAPL;MSFT,Apple;Microsoft,Technology,AI demand,0.411,0.453,0.505,0.042,,,,,0.000000,0.000000,0.000000,0.000000,0.500000,0.762324,31.7,3.0,58.1,0.0,0.0,0.0,0.411,72.0,earnings risk;demand risk,AI server orders supported stronger guidance.,0.505,1.000,1.000000,1.000,1.000000,False,1.0,
demo-01-02,demo-01-02,Demo Finance Daily,Demo Finance Daily,1,Microsoft semiconductors update 2 shapes Technology sentiment,chip supply constraints kept investors cautious. Investors linked the move to semiconductors.,Microsoft and Nvidia were mentioned in demo coverage of Technology. chip supply constraints kept investors cautious. Analysts said valuation risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-01-02,2026-07-04T21:00:00+00:00,2026-07-07T00:00:00+00:00,,en,MSFT;NVDA,Microsoft;Nvidia,Technology,semiconductors,-0.348,0.060,0.531,0.408,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.793074,4.2,28.6,75.0,0.0,0.0,0.0,-0.348,20.0,valuation risk,Analysts said valuation risk should be monitored over the next few weeks.,0.531,1.000,0.492464,1.000,0.492464,False,1.0,
demo-01-03,demo-01-03,Demo Sector Brief,Demo Sector Brief,1,Nvidia cloud growth update 3 shapes Technology sentiment,cloud spending trends remained resilient. Investors linked the move to cloud growth.,Nvidia and AMD were mentioned in demo coverage of Technology. cloud spending trends remained resilient. Analysts said earnings risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-01-03,2026-07-02T18:00:00+00:00,2026-07-07T00:00:00+00:00,,en,AMD;NVDA,AMD;Nvidia,Technology,cloud growth,0.349,0.438,0.473,0.089,,,,,0.000000,0.000000,1.000000,0.000000,0.500000,0.846767,40.7,6.2,59.3,0.0,0.0,0.0,0.349,30.0,earnings risk,Analysts said earnings risk should be monitored over the next few weeks.,0.473,1.000,0.242521,1.000,0.242521,False,1.0,
demo-01-04,demo-01-04,Demo Analyst Note,Demo Analyst Note,1,AMD earnings risk update 4 shapes Technology sentiment,valuation questions grew after a sharp rally. Investors linked the move to earnings risk.,AMD and Broadcom were mentioned in demo coverage of Technology. valuation questions grew after a sharp rally. Analysts said macro risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-01-04,2026-06-30T15:00:00+00:00,2026-07-07T00:00:00+00:00,,en,AMD;AVGO,AMD;Broadcom,Technology,earnings risk,0.141,0.249,0.642,0.108,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.792842,17.5,7.6,79.5,0.0,0.0,0.0,0.141,76.0,earnings risk;valuation risk,AMD and Broadcom were mentioned in demo coverage of Technology.,0.642,1.000,0.119433,1.000,0.119433,False,1.0,
demo-01-05,demo-01-05,Demo Macro Watch,Demo Macro Watch,1,Broadcom AI demand update 5 shapes Technology sentiment,AI server orders supported stronger guidance. Investors linked the move to AI demand.,Broadcom and Apple were mentioned in demo coverage of Technology. AI server orders supported stronger guidance. Analysts said demand risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-01-05,2026-06-28T12:00:00+00:00,2026-07-07T00:00:00+00:00,,en,AAPL;AVGO,Apple;Broadcom,Technology,AI demand,0.413,0.455,0.504,0.041,,,,,0.000000,0.000000,0.000000,0.000000,0.500000,0.760460,31.8,2.9,58.0,0.0,0.0,0.0,0.413,72.0,earnings risk;demand risk,AI server orders supported stronger guidance.,0.504,1.000,0.058816,1.000,0.058816,False,1.0,
demo-01-06,demo-01-06,Demo Market Wire,Demo Market Wire,1,Apple semiconductors update 6 shapes Technology sentiment,chip supply constraints kept investors cautious. Investors linked the move to semiconductors.,Apple and Microsoft were mentioned in demo coverage of Technology. chip supply constraints kept investors cautious. Analysts said valuation risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-01-06,2026-06-26T09:00:00+00:00,2026-07-07T00:00:00+00:00,,en,AAPL;MSFT,Apple;Microsoft,Technology,semiconductors,-0.347,0.061,0.532,0.408,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.793491,4.2,28.5,75.1,0.0,0.0,0.0,-0.347,20.0,valuation risk,Analysts said valuation risk should be monitored over the next few weeks.,0.532,1.000,0.028965,1.000,0.028965,False,1.0,
demo-01-07,demo-01-07,Demo Finance Daily,Demo Finance Daily,1,Microsoft cloud growth update 7 shapes Technology sentiment,cloud spending trends remained resilient. Investors linked the move to cloud growth.,Microsoft and Nvidia were mentioned in demo coverage of Technology. cloud spending trends remained resilient. Analysts said earnings risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-01-07,2026-06-24T06:00:00+00:00,2026-07-07T00:00:00+00:00,,en,MSFT;NVDA,Microsoft;Nvidia,Technology,cloud growth,0.330,0.425,0.481,0.094,,,,,0.000000,0.000000,1.000000,0.000000,0.500000,0.854033,39.7,6.6,59.9,0.0,0.0,0.0,0.330,30.0,earnings risk,Analysts said earnings risk should be monitored over the next few weeks.,0.481,1.000,0.014264,1.000,0.014264,False,1.0,
demo-01-08,demo-01-08,Demo Sector Brief,Demo Sector Brief,1,Nvidia earnings risk update 8 shapes Technology sentiment,valuation questions grew after a sharp rally. Investors linked the move to earnings risk.,Nvidia and AMD were mentioned in demo coverage of Technology. valuation questions grew after a sharp rally. Analysts said macro risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-01-08,2026-06-22T03:00:00+00:00,2026-07-07T00:00:00+00:00,,en,AMD;NVDA,AMD;Nvidia,Technology,earnings risk,0.120,0.233,0.655,0.112,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.784330,16.3,7.9,79.7,0.0,0.0,0.0,0.120,76.0,earnings risk;valuation risk,Nvidia and AMD were mentioned in demo coverage of Technology.,0.655,1.000,0.007025,1.000,0.007025,False,1.0,
demo-01-09,demo-01-09,Demo Analyst Note,Demo Analyst Note,1,AMD AI demand update 9 shapes Technology sentiment,AI server orders supported stronger guidance. Investors linked the move to AI demand.,AMD and Broadcom were mentioned in demo coverage of Technology. AI server orders supported stronger guidance. Analysts said demand risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-01-09,2026-06-21T00:00:00+00:00,2026-07-07T00:00:00+00:00,,en,AMD;AVGO,AMD;Broadcom,Technology,AI demand,0.411,0.452,0.507,0.041,,,,,0.000000,0.000000,0.000000,0.000000,0.500000,0.760292,31.6,2.9,58.1,0.0,0.0,0.0,0.411,72.0,earnings risk;demand risk,AI server orders supported stronger guidance.,0.507,1.000,0.004828,1.000,0.004828,False,1.0,
demo-01-10,demo-01-10,Demo Macro Watch,Demo Macro Watch,1,Broadcom semiconductors update 10 shapes Technology sentiment,chip supply constraints kept investors cautious. Investors linked the move to semiconductors.,Broadcom and Apple were mentioned in demo coverage of Technology. chip supply constraints kept investors cautious. Analysts said valuation risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-01-10,2026-06-18T21:00:00+00:00,2026-07-07T00:00:00+00:00,,en,AAPL;AVGO,Apple;Broadcom,Technology,semiconductors,-0.348,0.061,0.531,0.408,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.793266,4.2,28.6,75.0,0.0,0.0,0.0,-0.348,20.0,valuation risk,Analysts said valuation risk should be monitored over the next few weeks.,0.531,1.000,0.002378,1.000,0.002378,False,1.0,
