snapshot_date,snapshot_timestamp,data_source,formula_version,pipeline_revision,sector,article_count,attention_volume,optimism,fear,uncertainty,attention,disagreement,risk_intensity
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,baseline,r1,Communication Services,12,12.0,41.24283,13.012886,59.102655,22.727273,30.033289,76.280241
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,baseline,r1,Consumer Discretionary,12,12.0,45.244766,8.370421,59.610714,4.545455,20.241926,66.919341
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,baseline,r1,Consumer Staples,12,12.0,19.750352,31.120369,66.277443,13.636364,14.436903,67.37184
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,baseline,r1,Energy,12,12.0,26.028714,24.787016,61.596159,50.0,38.097679,67.828761
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,baseline,r1,Financials,12,12.0,37.774882,14.755713,61.768604,31.818182,28.140842,77.108514
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,baseline,r1,Healthcare,12,12.0,33.946678,14.386191,61.485166,40.909091,34.095999,79.306972
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,baseline,r1,Industrials,12,12.0,35.304702,17.335826,59.958532,77.272727,37.294554,77.301356
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,baseline,r1,Materials,12,12.0,33.745105,18.020483,60.435927,68.181818,37.675565,60.0
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,baseline,r1,Real Estate,12,12.0,32.526853,19.411321,61.003263,59.090909,37.123788,71.934126
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,baseline,r1,Technology,12,12.0,33.342003,14.963775,62.354488,95.454545,32.656395,55.379355
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,baseline,r1,Utilities,12,12.0,14.955629,28.503297,67.072234,86.363636,19.217612,75.567954
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,baseline,r1,Communication Services,205,205.0,34.723412,20.399255,50.854606,86.363636,48.72488,77.006125
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,baseline,r1,Consumer Discretionary,196,196.0,32.889929,22.752511,49.402123,68.181818,51.25568,76.999606
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,baseline,r1,Consumer Staples,144,144.0,32.209326,19.64904,52.182791,59.090909,47.029947,76.682018
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,baseline,r1,Energy,115,115.0,37.882556,27.97154,42.566528,40.909091,60.68347,73.500179
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,baseline,r1,Financials,196,196.0,36.222798,21.81989,47.900301,77.272727,51.80817,76.672226
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,baseline,r1,Healthcare,125,125.0,39.828111,12.635865,51.816449,50.0,41.592128,76.826228
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,baseline,r1,Industrials,123,123.0,37.022512,22.139807,46.857609,31.818182,54.341691,77.601875
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,baseline,r1,Materials,72,72.0,36.773883,16.689746,51.793523,4.545455,44.823026,72.766263
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,baseline,r1,Real Estate,66,66.0,34.375264,9.520596,55.233279,13.636364,35.432898,75.436907
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,baseline,r1,Technology,290,290.0,34.435441,26.507313,45.007045,95.454545,57.423599,76.86582
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,baseline,r1,Utilities,61,61.0,36.132781,13.976435,54.948386,22.727273,36.314162,75.778043
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,baseline,r1,Communication Services,12,0.534005,41.24283,13.012886,59.104795,22.727273,30.033289,76.280241
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,baseline,r1,Consumer Discretionary,12,0.128022,45.244766,8.370421,59.608766,4.545455,20.241926,66.919341
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,baseline,r1,Consumer Staples,12,0.407244,19.750352,31.120369,66.276102,13.636364,14.436903,67.37184
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,baseline,r1,Energy,12,1.15977,26.028714,24.787016,61.61515,50.0,38.097679,67.828761
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,baseline,r1,Financials,12,0.873345,37.774882,14.755713,61.73129,31.818182,28.140842,77.108514
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,baseline,r1,Healthcare,12,0.883963,33.946678,14.386191,61.472408,40.909091,34.095999,79.306972
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,baseline,r1,Industrials,12,1.706147,35.304702,17.335826,59.959301,77.272727,37.294554,77.301356
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,baseline,r1,Materials,12,1.513122,33.745105,18.020483,60.469017,68.181818,37.675565,60.0
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,baseline,r1,Real Estate,12,1.243171,32.526853,19.411321,60.986156,59.090909,37.123788,71.934126
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,baseline,r1,Technology,12,1.854418,33.342003,14.963775,62.33633,95.454545,32.656395,55.379355
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,baseline,r1,Utilities,12,1.828841,14.955629,28.503297,67.049368,86.363636,19.217612,75.567954
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,enhanced,r1,Communication Services,12,0.534005,34.266246,9.10902,62.983298,22.727273,41.586352,76.280241
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,enhanced,r1,Consumer Discretionary,12,0.128022,32.328008,5.859295,64.307565,4.545455,16.687687,66.919341
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,enhanced,r1,Consumer Staples,12,0.407244,14.29915,21.784258,62.605482,13.636364,18.796836,67.37184
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,enhanced,r1,Energy,12,1.15977,18.2201,22.828275,68.927581,50.0,64.275202,67.828761
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,enhanced,r1,Financials,12,0.873345,26.442417,10.328999,73.924992,31.818182,30.389988,77.108514
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,enhanced,r1,Healthcare,12,0.883963,23.762674,10.070334,63.551509,40.909091,45.005448,79.306972
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,enhanced,r1,Industrials,12,1.706147,24.713291,12.135078,62.612504,77.272727,52.053286,77.301356
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,enhanced,r1,Materials,12,1.513122,23.621573,17.652098,59.171115,68.181818,51.844548,60.0
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,enhanced,r1,Real Estate,12,1.243171,22.768797,13.587925,63.290959,59.090909,51.590957,71.934126
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,enhanced,r1,Technology,12,1.854418,24.643702,10.474643,64.119706,95.454545,42.897842,55.379355
