snapshot_date,snapshot_timestamp,data_source,sector,article_count,optimism,fear,uncertainty,attention,disagreement,risk_intensity
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Technology,12,33.342003,14.963775,62.354488,95.454545,32.656395,55.379355
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Communication Services,12,41.24283,13.012886,59.102655,22.727273,30.033289,76.280241
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Consumer Discretionary,12,45.244766,8.370421,59.610714,4.545455,20.241926,66.919341
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Consumer Staples,12,19.750352,31.120369,66.277443,13.636364,14.436903,67.37184
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Financials,12,37.774882,14.755713,61.768604,31.818182,28.140842,77.108514
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Healthcare,12,33.946678,14.386191,61.485166,40.909091,34.095999,79.306972
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Industrials,12,35.304702,17.335826,59.958532,77.272727,37.294554,77.301356
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Energy,12,26.028714,24.787016,61.596159,50.0,38.097679,67.828761
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Utilities,12,14.955629,28.503297,67.072234,86.363636,19.217612,75.567954
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Real Estate,12,32.526853,19.411321,61.003263,59.090909,37.123788,71.934126
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Materials,12,33.745105,18.020483,60.435927,68.181818,37.675565,60.0
