article_id,source,title,summary,content,url,published_at,collected_at,time_parse_error,language,tickers,companies,sector,topic,sentiment_score,p_positive,p_neutral,p_negative,optimism,fear,uncertainty,attention,attention_weight,disagreement,disagreement_input,risk_intensity,risk_category,evidence_sentence,model_confidence,relevance_weight,time_weight,agg_weight,is_duplicate,dedup_factor,processing_error
rss-1ba5488b6e992c14,Yahoo Finance RSS,1 Analyst Says This Chip Stock Could Soar 625% to Join Nvidia in the $5 Trillion Club,Trip Chowdhry of Global Equities Research is calling for massive upside in Intel stock.,Trip Chowdhry of Global Equities Research is calling for massive upside in Intel stock.,https://www.fool.com/investing/2026/07/06/1-analyst-says-this-chip-stock-could-soar-625-to/?.tsrc=rss,2026-07-06T18:50:00+00:00,2026-07-06T19:27:08+00:00,,en,AAPL;NVDA,Apple;Nvidia,Technology,semiconductors,0.791,0.864,0.063,0.073,86.4,7.3,21.7,0.0,0.0,0.0,0.791,80.0,macro risk,Trip Chowdhry of Global Equities Research is calling for massive upside in Intel stock.,0.864,1.000,0.991441,0.991441,False,1.0,
rss-3f27611d31ade120,Yahoo Finance RSS,VanEck Semiconductor ETF Is Up 64% This Year and Doesn’t Own a Single Share of Apple,"The VanEck Semiconductor ETF (NASDAQ:SMH) has ripped higher in 2026, gaining 64.47% year to date through July 2 and 111.24% over the trailing 12 months. Yet the fund fueling that run does not own a single share of Apple (NASDAQ:AAPL), arguably the most recognizable technology stock on the planet. The absence is structural, not tactical, ... VanEck Semiconductor ETF Is Up 64% This Year and Doesn’t Own a Single Share of Apple","The VanEck Semiconductor ETF (NASDAQ:SMH) has ripped higher in 2026, gaining 64.47% year to date through July 2 and 111.24% over the trailing 12 months. Yet the fund fueling that run does not own a single share of Apple (NASDAQ:AAPL), arguably the most recognizable technology stock on the planet. The absence is structural, not tactical, ... VanEck Semiconductor ETF Is Up 64% This Year and Doesn’t Own a Single Share of Apple",https://247wallst.com/investing/etf/2026/07/06/vaneck-semiconductor-etf-is-up-64-this-year-and-doesnt-own-a-single-share-of-apple/?.tsrc=rss,2026-07-06T18:48:19+00:00,2026-07-06T19:27:08+00:00,,en,AAPL,Apple,Technology,semiconductors,0.327,0.372,0.583,0.045,37.2,4.5,64.9,0.0,0.0,0.0,0.327,80.0,macro risk,"The VanEck Semiconductor ETF (NASDAQ:SMH) has ripped higher in 2026, gaining 64.47% year to date through July 2 and 111.24% over the trailing 12 months.",0.583,1.000,0.991055,0.991055,False,1.0,
rss-a6336d40b57e334f,Yahoo Finance RSS,Update: Equity Markets Rise Intraday as Tech Advances,(Updates with latest market prices and developments.) US benchmark equity indexes were higher int,(Updates with latest market prices and developments.) US benchmark equity indexes were higher int,https://finance.yahoo.com/markets/stocks/articles/equity-markets-rise-intraday-tech-181053180.html?.tsrc=rss,2026-07-06T18:10:53+00:00,2026-07-06T19:27:08+00:00,,en,AAPL,Apple,Technology,general market sentiment,0.918,0.946,0.026,0.028,94.6,2.8,10.5,0.0,0.0,0.0,0.918,80.0,macro risk,(Updates with latest market prices and developments.) US benchmark equity indexes were higher int (Updates with latest market prices and developments.) US benchmark equity indexes were higher int,0.946,1.000,0.982504,0.982504,False,1.0,
rss-3b18911c6a7dae8d,Yahoo Finance RSS,Omni Ventures Closes Oversubscribed Fund I to Advance Digitization of Manufacturing Technology,"SAN JOSE, Calif., July 06, 2026--Omni Ventures, the Manufacturing Tech VC, announced it has closed its oversubscribed $33 million Fund I to invest in startups leading the digitization of manufacturing technology. Led by general partners Simon Lancaster and Sabrina Paseman, two former Apple product and manufacturing engineers turned founders, Omni is investing $700,000 to $1 million into pre-seed startups building software, AI, robotics, automation, and connected industrial systems for the manufa","SAN JOSE, Calif., July 06, 2026--Omni Ventures, the Manufacturing Tech VC, announced it has closed its oversubscribed $33 million Fund I to invest in startups leading the digitization of manufacturing technology. Led by general partners Simon Lancaster and Sabrina Paseman, two former Apple product and manufacturing engineers turned founders, Omni is investing $700,000 to $1 million into pre-seed startups building software, AI, robotics, automation, and connected industrial systems for the manufa",https://finance.yahoo.com/technology/articles/omni-ventures-closes-oversubscribed-fund-173700991.html?.tsrc=rss,2026-07-06T17:37:00+00:00,2026-07-06T19:27:08+00:00,,en,AAPL,Apple,Technology,general market sentiment,-0.190,0.109,0.593,0.299,10.9,29.9,68.8,0.0,0.0,0.0,-0.190,80.0,macro risk,"SAN JOSE, Calif., July 06, 2026--Omni Ventures, the Manufacturing Tech VC, announced it has closed its oversubscribed $33 million Fund I to invest in startups leading the digitization of manufacturing technology.",0.593,1.000,0.974828,0.974828,False,1.0,
rss-d8feec6ccadd65d0,Yahoo Finance RSS,"These Were the 3 Best-Performing ""Magnificent Seven"" Stocks of the First Half. Only 1 of Them Outperformed the S&P 500",Excitement has cooled this year around some of the biggest names in tech.,Excitement has cooled this year around some of the biggest names in tech.,https://www.fool.com/investing/2026/07/06/these-were-the-3-best-performing-magnificent-seven/?.tsrc=rss,2026-07-06T16:50:00+00:00,2026-07-06T19:27:08+00:00,,en,AAPL,Apple,Technology,general market sentiment,-0.475,0.093,0.339,0.568,9.3,56.8,53.5,0.0,0.0,0.0,-0.475,80.0,macro risk,Excitement has cooled this year around some of the biggest names in tech.,0.568,1.000,0.964280,0.964280,False,1.0,
rss-a5730d4758ad1b75,Yahoo Finance RSS,Broadcom shares jump after surprise five-year Apple chip deal,Broadcom wins major Apple partnership expansion as investors eye AI upside,Broadcom wins major Apple partnership expansion as investors eye AI upside,https://finance.yahoo.com/markets/stocks/articles/broadcom-shares-jump-surprise-five-164320062.html?.tsrc=rss,2026-07-06T16:43:20+00:00,2026-07-06T19:27:08+00:00,,en,AAPL;AVGO,Apple;Broadcom,Technology,semiconductors,0.634,0.767,0.100,0.133,76.7,13.3,31.5,0.0,0.0,0.0,0.634,80.0,macro risk,Broadcom wins major Apple partnership expansion as investors eye AI upside Broadcom wins major Apple partnership expansion as investors eye AI upside,0.767,1.000,0.962793,0.962793,False,1.0,
rss-292d75dd2c76608c,Yahoo Finance RSS,Broadcom to Supply Chips Under Expanded Partnership With Apple,Broadcom (AVGO) will develop custom microchips for Apple's (AAPL) products under an expanded partner,Broadcom (AVGO) will develop custom microchips for Apple's (AAPL) products under an expanded partner,https://finance.yahoo.com/technology/articles/broadcom-supply-chips-under-expanded-162817157.html?.tsrc=rss,2026-07-06T16:28:17+00:00,2026-07-06T19:27:08+00:00,,en,AAPL;AVGO,Apple;Broadcom,Technology,semiconductors,0.285,0.293,0.699,0.008,29.3,0.8,65.5,0.0,0.0,0.0,0.285,80.0,macro risk,Broadcom (AVGO) will develop custom microchips for Apple's (AAPL) products under an expanded partner Broadcom (AVGO) will develop custom microchips for Apple's (AAPL) products under an expanded partner,0.699,1.000,0.959445,0.959445,False,1.0,
rss-9084a92b0b80298c,Yahoo Finance RSS,Apple's foldable iPhone may face iPhone X problem,Apple's foldable launch may come with a familiar catch.,Apple's foldable launch may come with a familiar catch.,https://finance.yahoo.com/markets/stocks/articles/apples-foldable-iphone-may-face-162451273.html?.tsrc=rss,2026-07-06T16:24:51+00:00,2026-07-06T19:27:08+00:00,,en,AAPL,Apple,Technology,general market sentiment,0.085,0.102,0.880,0.017,10.2,1.7,67.9,0.0,0.0,0.0,0.085,80.0,macro risk,Apple's foldable launch may come with a familiar catch.,0.880,1.000,0.958683,0.958683,False,1.0,
rss-9468ad7092b494d5,Yahoo Finance RSS,Apple brings back card payments for Apple Account purchases in India after a four-year hiatus,Apple has started a phased rollout of card payments for Apple Account purchases in India after adapting to the country's payments framework.,Apple has started a phased rollout of card payments for Apple Account purchases in India after adapting to the country's payments framework.,https://finance.yahoo.com/technology/articles/apple-brings-back-card-payments-162103965.html?.tsrc=rss,2026-07-06T16:21:03+00:00,2026-07-06T19:27:08+00:00,,en,AAPL,Apple,Technology,general market sentiment,0.706,0.718,0.271,0.011,71.8,1.1,39.7,0.0,0.0,0.0,0.706,80.0,macro risk,Apple has started a phased rollout of card payments for Apple Account purchases in India after adapting to the country's payments framework.,0.718,1.000,0.957840,0.957840,False,1.0,
rss-544c9e93e6eb99f2,Yahoo Finance RSS,Broadcom Stock Jumps on Extended Apple Partnership. It’s All About ‘Edge AI.’,"Broadcom will supply Apple with custom application-specific integrated circuits, known as ASICs, through 2031, it said in a securities filing. Broadcom stock rose 4.1% to $375.13 on Monday. Apple has been one of Broadcom’s leading customers since 2010, notably buying hardware to assist with wireless connectivity.","Broadcom will supply Apple with custom application-specific integrated circuits, known as ASICs, through 2031, it said in a securities filing. Broadcom stock rose 4.1% to $375.13 on Monday. Apple has been one of Broadcom’s leading customers since 2010, notably buying hardware to assist with wireless connectivity.",https://finance.yahoo.com/m/cdcde01e-46e8-3751-9e05-f3aabacc983d/broadcom-stock-jumps-on.html?.tsrc=rss,2026-07-06T16:04:00+00:00,2026-07-06T19:27:08+00:00,,en,AAPL;AVGO,Apple;Broadcom,Technology,general market sentiment,0.597,0.631,0.336,0.034,63.1,3.4,48.2,0.0,0.0,0.0,0.597,80.0,macro risk,Broadcom stock rose 4.1% to $375.13 on Monday.,0.631,1.000,0.954067,0.954067,False,1.0,
