article_id,sentiment_raw,sentiment_norm,risk_raw,risk_norm,sector_raw,sector_norm,predicted_sector,sector_ok,evidence_user_raw,evidence_predicted,evidence_ok,evidence_rule
rss-538c681077acb4f6,positive,positive,earning risk,earnings risk,Utilities,Utilities,Utilities,1,"The power company's shares have seen an increase of 3.66% over the last month, surpassing the Utilities sector's gain of 1.12% and the S&P 500's loss of 1.42%.",(SO) Gained Today Southern Co.,0,nomatch(0.14)
rss-63632a7d7c88bd85,positive,positive,earning risk,earnings risk,Industrials,Industrials,Industrials,1,"The momentum was enough to push the iShares U.S. Aerospace & Defense ETF (ITA) to its first intraday record high in four months on Monday,","US defense stocks are set to benefit from a US rearmament, fractious geopolitics, and the race for AI battlefield capabilities.",0,nomatch(0.30)
rss-621a6d8db4a96598,neutral,neutral,valuation risk,valuation risk,Technology,Technology,Consumer Discretionary,0,The firm said it updated its model to include a 25%-30% premium over current trading levels to reflect a potential SpaceX acquisition scenario.,"RBC took a more bullish view, raising its Tesla price target to $500 from $475, implying a 24% upside from current levels.",0,nomatch(0.34)
rss-7f116ad98a11f810,neutral,neutral,none,none,Financials,Financials,Technology,0,Join Stock Advisor to learn more about these strategies.,"Don't stop contributing If you're happy with your 401(k) balance, you may be inclined to stop funding that account.",0,nomatch(0.25)
rss-f70a76af3d815b64,negative,negative,geopolitical risk,geopolitical risk,Healthcare,Healthcare,Healthcare,1,"On Friday, the S&P 500’s healthcare sector was the only major sector trading down more than 0.1%: It was down 0.7%.","On Friday, the S&P 500’s healthcare sector was the only major sector trading down more than 0.1%: It was down 0.7%.",1,containment
rss-c8e40ec9fd5b7461,postive,positive,demand risk;earnings risk;macro risk,demand risk;earnings risk;macro risk,Consumer Staples;Industrials;Consumer Discretionary,Consumer Staples;Industrials;Consumer Discretionary,Consumer Staples,1,consumers shying away from discretionary projects;quarterly results are forecast to remain mixed this year;persistent weakness in the housing market,"Five Dividend Kings—Procter & Gamble, Hormel, Stanley Black & Decker, Genuine Parts and Lowe's—trade at discounted valuations, offering attractive yields despite near-term business headwinds.",0,nomatch(0.21)
rss-7c1c30784db8c1e0,Positive,positive,Valuation risk,valuation risk,Technology,Technology,Unmapped,0,"It’s common for newly public stocks to jump on their first days of trading, only to fall a few weeks later, as pent-up demand settles.","SK Hynix began trading at $170 a share, above its initial public offering price of $149, in the latest test of investor demand for A.I.-related companies.",0,nomatch(0.29)
rss-99944ade793ab0e4,Neutral,neutral,Valuation risk,valuation risk,Communication Services,Communication Services,Communication Services,1,"Netflix looks like a high quality, cash generative business that is trading around fair value rather than at a compelling discount","The latest close was $76.02, with the year-to-date share price return down 16.45%.",0,nomatch(0.27)
rss-b67d289541cee5b7,Neutral,neutral,liquildity risk,liquidity risk,Consumer Discretionary,Consumer Discretionary,Real Estate,0,Simon Property Group Announces Offering of Euro-Denominated Notes,"Simon Property Group, L.P., a global leader in the ownership of premier shopping, dining, entertainment and mixed-use destinations (the ""Company""), today announced that its indirect subsidiary, Simon Global Development B.V., incorporated as a private limited liability company (besloten vennootschap met beperkte aansprakelijkheid) registered with the Dutch Trade Register of the Chamber of Commerce (the ""Issuer""), has agreed to sell €500,000,000 principal amount of its 3.650% unsecured notes due 2.",0,nomatch(0.10)
rss-49991ab247ac1122,postive,positive,liquildity risk;earnings risk,liquidity risk;earnings risk,Consumer Discretionary;Consumer Staples,Consumer Discretionary;Consumer Staples,Consumer Staples,1,Both stocks have their place in various portfolios.,"Despite strong earnings, both stocks are down for the year.",0,nomatch(0.41)
rss-771e8c6b8e86a785,negative,negative,demand risk;macro risk,demand risk;macro risk,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,1,The most immediate drag on Home Depot’s results is clear: homeowners are thinking twice about major renovations. ;The risk for investors is that Home Depot is leaning into a more cyclical business just as the cycle itself is turning less favorable.,"The company is making a big bet on professional contractors just as its core DIY customer is pulling back, creating a new kind of vulnerability.",0,nomatch(0.32)
