article_id,stratum_sector,stratum_sentiment,predicted_sentiment_finbert,predicted_sector,predicted_risk_categories,predicted_evidence_sentence,finbert_confidence,p_positive,p_neutral,p_negative
rss-538c681077acb4f6,Utilities,positive,positive,Utilities,,(SO) Gained Today Southern Co.,0.61,0.61,0.274,0.116
rss-63632a7d7c88bd85,Industrials,positive,positive,Industrials,,"US defense stocks are set to benefit from a US rearmament, fractious geopolitics, and the race for AI battlefield capabilities.",0.937,0.937,0.046,0.016
rss-621a6d8db4a96598,Consumer Discretionary,positive,positive,Consumer Discretionary,,"RBC took a more bullish view, raising its Tesla price target to $500 from $475, implying a 24% upside from current levels.",0.948,0.948,0.026,0.026
rss-7f116ad98a11f810,Technology,neutral,neutral,Technology,liquidity risk,"Don't stop contributing If you're happy with your 401(k) balance, you may be inclined to stop funding that account.",0.823,0.156,0.823,0.021
rss-f70a76af3d815b64,Healthcare,negative,negative,Healthcare,,"On Friday, the S&P 500’s healthcare sector was the only major sector trading down more than 0.1%: It was down 0.7%.",0.925,0.011,0.064,0.925
rss-c8e40ec9fd5b7461,Consumer Staples,positive,positive,Consumer Staples,interest rate risk,"Five Dividend Kings—Procter & Gamble, Hormel, Stanley Black & Decker, Genuine Parts and Lowe's—trade at discounted valuations, offering attractive yields despite near-term business headwinds.",0.586,0.586,0.234,0.18
rss-7c1c30784db8c1e0,Unmapped,positive,positive,Unmapped,,"SK Hynix began trading at $170 a share, above its initial public offering price of $149, in the latest test of investor demand for A.I.-related companies.",0.932,0.932,0.045,0.022
rss-99944ade793ab0e4,Communication Services,negative,negative,Communication Services,,"The latest close was $76.02, with the year-to-date share price return down 16.45%.",0.558,0.089,0.353,0.558
rss-b67d289541cee5b7,Real Estate,positive,positive,Real Estate,,"Simon Property Group, L.P., a global leader in the ownership of premier shopping, dining, entertainment and mixed-use destinations (the ""Company""), today announced that its indirect subsidiary, Simon Global Development B.V., incorporated as a private limited liability company (besloten vennootschap met beperkte aansprakelijkheid) registered with the Dutch Trade Register of the Chamber of Commerce (the ""Issuer""), has agreed to sell €500,000,000 principal amount of its 3.650% unsecured notes due 2.",0.522,0.522,0.467,0.011
rss-49991ab247ac1122,Consumer Staples,negative,negative,Consumer Staples,,"Despite strong earnings, both stocks are down for the year.",0.739,0.012,0.249,0.739
rss-771e8c6b8e86a785,Consumer Discretionary,negative,negative,Consumer Discretionary,,"The company is making a big bet on professional contractors just as its core DIY customer is pulling back, creating a new kind of vulnerability.",0.833,0.066,0.1,0.833
rss-6668b6b25430b211,Industrials,neutral,neutral,Industrials,,"Aerospace & Defense ETF (BATS:ITA) has climbed 35% over the past year and nearly 17% year to date, and the reflexive retail question is whether the run is exhausted.",0.576,0.382,0.576,0.042
rss-31eea56206a323fa,Unmapped,neutral,neutral,Unmapped,,A violent rotation is taking place under the hood of the stock market ahead of second-quarter earnings.,0.515,0.023,0.515,0.462
rss-d090efefd2339b40,Utilities,neutral,neutral,Utilities,,"Orthodontists now evaluate some children as early as age seven, looking for jaw-development issues, crowding, bite problems, and other concerns that can become more expensive to fix later.",0.697,0.046,0.697,0.257
rss-90d8992f545666da,Consumer Staples,neutral,neutral,Consumer Staples,,The company has a deep commitment to dividends.,0.762,0.229,0.762,0.009
rss-60b4f4d201022bc7,Communication Services,positive,positive,Communication Services,,Berkshire Hathaway has steadily turned Alphabet into a major position over the last couple of quarters.,0.883,0.883,0.106,0.011
rss-72688f8d89fa086e,Technology,positive,positive,Technology,valuation risk,"There were multiple recent catalysts that sent Meta stock higher from reports that the company plans to rent out its surplus compute to Mark Zuckerberg announcing the release of Muse Spark 1.1, and a reported internal memo about expanding its computing capacity and a new AI chip through a partnership with Broadcom.",0.939,0.939,0.03,0.03
rss-4b7ac41931a0c81e,Financials,negative,negative,Financials,,(Bloomberg) -- A violent rotation in the underbelly of a bullish stock market is extending the worst run for quantitative hedge funds since 2023.,0.898,0.062,0.04,0.898
rss-30f0e0f45f2bf5c5,Energy,positive,positive,Energy,commodity risk,Chevron (CVX) is poised to post second-quarter earnings above Wall Street's expectations on stronger Chevron (CVX) is poised to post second-quarter earnings above Wall Street's expectations on stronger,0.944,0.944,0.023,0.033
rss-1d7799b4365e289f,Real Estate,negative,negative,Real Estate,,"Meanwhile, revenue and FFO pressures linger.",0.405,0.394,0.201,0.405
rss-458133ea68eed813,Materials,neutral,neutral,Materials,,"(TSXV: MUN) (OTCQB: MUNMF) (www.mundoro.com) (""Mundoro"" or the ""Company"") is pleased to announce the completion of a 1,288.1 meters diamond drill program at the Skorusa East target within the Central Timok project (Figure 1) located within the Timok Magmatic Complex (""Timok"") in Serbia.",0.73,0.255,0.73,0.015
